generation,meanFitness,bestFitness,diversity
0,0.49575,0.63,0.49349999999999994
10,0.7675750000000003,0.86,0.34750000000000003
20,0.9225250000000006,0.97,0.12999999999999998
30,0.9777000000000036,1.0,3.9000000000000014e-2
40,0.9849750000000028,1.0,3.750000000000001e-2
50,0.9803500000000036,1.0,3.8000000000000006e-2
60,0.9817500000000037,1.0,3.0000000000000006e-2
70,0.9823250000000034,1.0,3.600000000000001e-2
80,0.9816000000000032,1.0,3.550000000000001e-2
90,0.9841000000000034,1.0,2.7500000000000004e-2
100,0.9801000000000031,1.0,4.250000000000002e-2
110,0.9844500000000039,1.0,2.7500000000000004e-2
120,0.9841500000000032,1.0,3.350000000000001e-2
130,0.9818500000000031,1.0,3.350000000000001e-2
140,0.9821500000000033,1.0,3.1000000000000007e-2
150,0.9830750000000036,1.0,3.350000000000001e-2
160,0.9827250000000041,1.0,3.300000000000001e-2
170,0.9824500000000035,1.0,3.050000000000001e-2
180,0.9797500000000032,1.0,3.850000000000001e-2
190,0.9825000000000033,1.0,3.350000000000001e-2
200,0.9833250000000038,1.0,3.700000000000001e-2
210,0.9825750000000038,1.0,3.0500000000000006e-2
220,0.9821000000000025,1.0,3.8500000000000006e-2
230,0.9812500000000027,1.0,4.000000000000001e-2
240,0.9796500000000029,1.0,5.100000000000001e-2
250,0.9824250000000034,1.0,4.0500000000000015e-2
260,0.9823250000000029,1.0,3.750000000000001e-2
270,0.9840000000000038,1.0,2.6500000000000003e-2
280,0.9806500000000028,1.0,3.55e-2
290,0.9830750000000029,1.0,3.7000000000000005e-2
300,0.9801000000000027,1.0,3.850000000000001e-2
310,0.9848750000000035,1.0,3.500000000000001e-2
320,0.9821500000000033,1.0,3.600000000000001e-2
330,0.9824750000000035,1.0,3.2000000000000015e-2
340,0.9829250000000043,1.0,4.300000000000002e-2
350,0.984825000000003,1.0,2.7500000000000004e-2
360,0.9820000000000035,1.0,4.0000000000000015e-2
370,0.9824250000000039,1.0,3.550000000000001e-2
380,0.9817500000000037,1.0,3.250000000000001e-2
390,0.9819500000000037,1.0,3.8e-2
400,0.9830000000000028,1.0,3.450000000000001e-2
410,0.9821750000000032,1.0,3.600000000000001e-2
420,0.9816250000000033,1.0,3.550000000000001e-2
430,0.9839250000000038,1.0,3.200000000000001e-2
440,0.981650000000004,1.0,3.550000000000001e-2
450,0.9808500000000038,1.0,3.75e-2
460,0.9817250000000034,1.0,3.7500000000000006e-2
470,0.9824500000000033,1.0,3.3499999999999995e-2
480,0.9826000000000034,1.0,3.000000000000001e-2
490,0.9817000000000041,1.0,4.400000000000002e-2
500,0.9832750000000026,1.0,3.75e-2
