generation,meanFitness,bestFitness,diversity
0,0.4965750000000003,0.66,0.5015
10,0.7813749999999997,0.88,0.325
20,0.9303749999999996,0.99,0.11950000000000001
30,0.9755000000000029,1.0,4.6000000000000006e-2
40,0.9842500000000033,1.0,3.2500000000000015e-2
50,0.9815000000000027,1.0,2.5500000000000005e-2
60,0.9814000000000042,1.0,3.850000000000001e-2
70,0.9821500000000039,1.0,3.250000000000001e-2
80,0.9833250000000033,1.0,3.650000000000001e-2
90,0.981850000000003,1.0,3.250000000000001e-2
100,0.9807750000000034,1.0,3.400000000000001e-2
110,0.9808500000000033,1.0,3.500000000000001e-2
120,0.9815250000000035,1.0,3.3e-2
130,0.9805750000000036,1.0,3.400000000000001e-2
140,0.9790500000000031,1.0,3.500000000000001e-2
150,0.9810000000000038,1.0,4.500000000000002e-2
160,0.9816000000000024,1.0,3.400000000000001e-2
170,0.9822500000000036,1.0,3.750000000000001e-2
180,0.981900000000003,1.0,4.1000000000000016e-2
190,0.9827000000000031,1.0,3.200000000000001e-2
200,0.9820750000000033,1.0,3.9000000000000014e-2
210,0.9822750000000036,1.0,3.300000000000001e-2
220,0.9830750000000034,1.0,3.5e-2
230,0.9826750000000031,1.0,3.3500000000000016e-2
240,0.9815750000000043,1.0,3.25e-2
250,0.9828500000000033,1.0,3.500000000000001e-2
260,0.9829500000000029,1.0,3.250000000000001e-2
270,0.9822500000000037,1.0,3.300000000000001e-2
280,0.9818250000000028,1.0,3.300000000000001e-2
290,0.9826250000000033,1.0,3.95e-2
300,0.9801750000000032,1.0,4.100000000000001e-2
310,0.9823750000000043,1.0,3.400000000000001e-2
320,0.9812750000000033,1.0,3.300000000000001e-2
330,0.9819000000000035,1.0,3.850000000000001e-2
340,0.9826250000000034,1.0,3.500000000000001e-2
350,0.9817500000000038,1.0,3.500000000000001e-2
360,0.9832250000000038,1.0,3.200000000000001e-2
370,0.9830250000000034,1.0,3.6000000000000004e-2
380,0.9826500000000027,1.0,3.500000000000001e-2
390,0.9831750000000042,1.0,3.150000000000001e-2
400,0.9804750000000025,1.0,4.900000000000002e-2
410,0.9840000000000034,1.0,3.400000000000001e-2
420,0.9820500000000034,1.0,3.450000000000001e-2
430,0.9806250000000039,1.0,4.0000000000000015e-2
440,0.9820250000000037,1.0,5.050000000000001e-2
450,0.9821500000000039,1.0,4.1500000000000016e-2
460,0.9814750000000038,1.0,3.550000000000001e-2
470,0.9813000000000044,1.0,3.0500000000000006e-2
480,0.9818250000000038,1.0,3.650000000000001e-2
490,0.9824250000000034,1.0,3.650000000000001e-2
500,0.9835500000000036,1.0,2.5500000000000005e-2
